Date,return
2017-05-01,0.061488166
2017-06-01,-0.054796718
2017-07-01,0.03218049
2017-08-01,0.097733654
2017-09-01,-0.05821575
2017-10-01,0.09240401
2017-11-01,0.01648665
2017-12-01,-0.011774968
2018-01-01,-0.010693221
2018-02-01,0.061892018
2018-03-01,-0.055734817
2018-04-01,-0.015133695
2018-05-01,0.12289317
2018-06-01,-0.005614354
2018-07-01,0.027598891
2018-08-01,0.17917235
2018-09-01,-0.004836606
2018-10-01,-0.030951733
2018-11-01,-0.20339547
2018-12-01,-0.120605655
2019-01-01,0.053687006
2019-02-01,0.039523594
2019-03-01,0.09688202
2019-04-01,0.05490085
2019-05-01,-0.13647579
2019-06-01,0.1265205
2019-07-01,0.073617
2019-08-01,-0.020390289
2019-09-01,0.07421484
2019-10-01,0.104976356
2019-11-01,0.07169602
2019-12-01,0.09720181
2020-01-01,0.05260173
2020-02-01,-0.12420115
2020-03-01,-0.069943346
2020-04-01,0.1444239
2020-05-01,0.0789634
2020-06-01,0.14018993
2020-07-01,0.15283397
2020-08-01,0.19423363
2020-09-01,-0.1063703
2020-10-01,-0.061888237
2020-11-01,0.08948102
2020-12-01,0.11019577
2021-01-01,-0.005516642
2021-02-01,-0.08456206
2021-03-01,0.008806175
2021-04-01,0.07345286
2021-05-01,-0.053513892
2021-06-01,0.09619716
2021-07-01,0.06295831
2021-08-01,0.040114287
2021-09-01,-0.0689646
2021-10-01,0.05700126
2021-11-01,0.09846106
2021-12-01,0.0730612
2022-01-01,-0.015836826
2022-02-01,-0.056855492
2022-03-01,0.057155665
2022-04-01,-0.102177635
2022-05-01,-0.05750539
2022-06-01,-0.083468705
2022-07-01,0.17280443
2022-08-01,-0.033093326
2022-09-01,-0.12755623
2022-10-01,0.10395579
2022-11-01,-0.035242636
2022-12-01,-0.12876172
2023-01-01,0.104829326
2023-02-01,0.04459339
