month,smb,hml,umd,rf,rm,rmrf
1994m9,0.02222644,0.00413577,0.01032637,0.0044515455,-0.0667666479,-0.07121819
1994m10,-0.02919201,0.00316705,0.01496992,0.0044180644,0.0192835711,0.01486551
1994m11,-0.00479859,-0.00904072,0.00372301,0.0046440837,-0.0027960836,-0.00744017
1994m12,-0.01392646,0.00024204,0.01292204,0.0048031651,-0.00039992,-0.00520309
1995m1,0.00389849,0.00187439,0.00442016,0.004953897,-0.0255674727,-0.03052137
1995m2,-0.01221765,-0.00918287,-0.00346479,0.0050125207,0.0073267101,0.00231419
1995m3,-0.01289417,-0.00712468,-0.01724358,0.004953897,0.0432073949,0.0382535
1995m4,0.0006452,-0.00133797,0.01859704,0.0053559586,0.0292187296,0.02386277
1995m5,0.00888123,0.0064833,0.00699426,0.0049287733,0.0381081809,0.03317941
1995m6,-0.01481267,-0.02865422,0.03939537,0.0053559586,-0.0020977965,-0.00745376
1995m7,0.00186282,0.00768363,0.00011815,0.0053392031,0.0512710972,0.04593189
1995m8,0.01004396,-0.03373687,0.01950799,0.0053140702,0.0139970538,0.00868298
1995m9,0.01187556,-0.0339203,0.03046996,0.0052889372,0.0133888382,0.0080999
1995m10,-0.00391412,-0.04525714,0.05245412,0.0052889372,0.0026033829,-0.00268555
1995m11,-0.01633488,0.00335497,0.02161857,0.005163284,0.0340674446,0.02890416
1995m12,-0.00960516,0.01076056,-0.00145716,0.0050376465,0.0129835644,0.00794592
1996m1,0.01639952,-0.00401987,0.00839753,0.0048534065,0.0244951963,0.01964179
1996m2,0.02423791,-0.0034403,0.00031503,0.0048115384,0.0017014458,-0.00311009
1996m3,0.02050945,4.92e-05,-0.0001964,0.0047110624,0.0089397225,0.00422866
1996m4,0.0343858,-0.00213345,0.0074846,0.0047026897,0.0432073949,0.03850471
1996m5,0.0223232,-0.03041166,0.02853337,0.0047361803,-0.0121258815,-0.01686206
1996m6,-0.00768149,0.00080748,0.02481751,0.0045268823,-0.0120270893,-0.01655397
1996m7,-0.02892928,0.01255261,-0.01907156,0.0044850278,-0.007471945,-0.01195697
1996m8,-0.00966471,-0.01035277,0.03555879,0.0044850278,0.0500103267,0.0455253
1996m9,-0.01084994,-0.00385923,0.01868775,0.0045101403,0.0187740576,0.01426392
1996m10,0.01289189,-0.01119855,0.02075985,0.0045771098,0.0080320859,0.00345498
1996m11,-0.02653149,0.01577872,-0.00907858,0.0049706463,0.0167385453,0.0117679
1996m12,-0.00800233,0.02275356,0.00359592,0.0049957707,0.0173487723,0.012353
1997m1,0.0377027,0.00190699,0.02752456,0.0048115384,0.0377967937,0.03298526
1997m2,0.00635043,-0.00211349,-0.01888347,0.004752926,0.0117687124,0.00701579
1997m3,-0.02129368,0.0082016,-0.00443619,0.0048952763,0.0026033829,-0.00229189
1997m4,-0.0174824,0.00523873,0.02614582,0.0049706463,0.0214263158,0.01645567
1997m5,-0.03461551,0.02006578,0.03133319,0.0050376465,0.0338606521,0.02882301
1997m6,-0.02402757,0.01391284,0.02038352,0.0051967899,-0.0038924048,-0.00908919
1997m7,-0.05897541,0.01734457,0.02461214,0.0053727149,0.0505354642,0.04516275
1997m8,0.0393677,0.00481507,-0.0170447,0.0055905692,-0.0039920108,-0.00958258
1997m9,-0.02328342,-0.01750294,-0.00999152,0.0055738092,0.0810145517,0.07544074
1997m10,0.0331006,0.01383093,0.02844931,0.0055738092,-0.0647112744,-0.07028508
1997m11,-0.02206685,-0.00285998,0.00865554,0.0057581813,-0.0008995951,-0.00665778
1997m12,-0.02052638,-0.0322026,0.04394267,0.0056576107,0.0555901552,0.04993254
1998m1,-0.04332201,-0.02454948,0.10614595,0.0054397419,0.0527439049,0.04730416
1998m2,0.0080347,-0.00758985,-0.01333361,0.0055821892,0.0593971296,0.05381494
1998m3,0.02238407,0.02363676,0.00272488,0.0055905692,0.0426859205,0.03709535
1998m4,0.00290217,-0.0026399,-0.01130474,0.0056576107,0.0047110623,-0.00094655
1998m5,0.05001603,-0.00023591,0.01423404,0.0056743721,0.0063198867,0.00064551
1998m6,-0.06130667,-0.00460274,0.04921313,0.0059342049,-0.0188206372,-0.02475484
1998m7,-0.03880544,-0.02784954,0.05312242,0.0058839092,-0.0023971224,-0.00828103
